,customer_id,name,age,salary,signup_date,city,product,quantity,satisfaction_score
35,C1179,Frank Müller,27.9,44477.0,2024-02-06,Berlin,Doohickey,9,74.2
36,C1086,Alice Kim,36.5,59848.0,2024-03-15,Berlin,Gadget,9,74.6
37,C1011,Jamal O'Neil,39.8914798206278,64044.11983471074,2025-02-14,Sydney,Gadget,1,73.7
38,C1090,Elena Müller,40.4,74441.0,2024-03-23,Lisbon,Widget,4,79.3
39,C1005,Ingrid O'Neil,43.5,63432.0,2025-03-27,Toronto,Gizmo,3,50.4
40,C1230,Elena Kowalski,31.3,41552.0,2024-11-20,Toronto,Widget,5,67.7
41,C1180,Jamal Smith,39.8914798206278,44848.0,2025-03-13,Lisbon,Gizmo,7,65.0
42,C1102,Ingrid Kowalski,39.3,61865.0,2025-06-18,Berlin,Gadget,3,83.2
43,C1058,Hiro Kowalski,39.8914798206278,73066.0,2024-06-23,Tokyo,Widget,6,88.6
44,C1161,Grace O'Neil,39.8914798206278,64754.0,2024-05-03,Mumbai,Sprocket,5,80.1
45,C1246,Hiro Smith,54.8,62792.0,2024-08-31,Tokyo,Gizmo,6,51.9
46,C1120,Elena Kowalski,44.4,18835.0,2024-08-31,Mumbai,Sprocket,3,66.2
47,C1240,Bob Kim,48.8,62281.0,2024-07-20,Sydney,Widget,8,65.5
48,C1096,Carlos Kim,44.6,62444.0,2024-07-20,Austin,Gadget,7,58.8
49,C1007,Grace Smith,32.3,51437.0,2024-07-21,Toronto,Sprocket,9,85.7
50,C1094,Ingrid Kim,48.3,68095.0,2024-07-26,Sydney,Doohickey,5,90.3
51,C1080,Jamal Silva,27.6,21570.0,2024-01-01,Sydney,Sprocket,7,68.56963562753035
52,C1115,Frank Silva,43.5,63531.0,2025-08-06,Toronto,Widget,8,49.5
53,C1210,Carlos Müller,39.8914798206278,72966.0,2025-10-30,Berlin,Gadget,2,61.8
54,C1245,Alice Nguyen,35.7,32839.0,2025-08-01,Austin,Widget,9,97.4
55,C1101,Bob Smith,39.8914798206278,98261.0,2025-04-15,Sydney,Widget,6,68.6
56,C1166,Dana Kim,33.9,43114.0,2025-02-15,Lisbon,Widget,7,68.0
57,C1078,Frank O'Neil,40.8,64044.11983471074,2025-11-07,Berlin,Gizmo,6,79.2
58,C1008,Carlos O'Neil,41.2,46419.0,2024-08-01,Mumbai,Gizmo,4,51.5
59,C1145,Ingrid Haddad,20.2,50119.0,2025-01-04,Mumbai,Doohickey,1,54.1
60,C1027,Ingrid Haddad,25.4,89051.0,2025-12-07,Austin,Gizmo,3,81.4
61,C1065,Dana Müller,43.0,50481.0,2024-03-19,Nairobi,Widget,6,67.5
62,C1052,Dana Smith,56.1,54604.0,2025-03-18,Toronto,Gadget,4,84.1
63,C1062,Dana Smith,39.8914798206278,69235.0,2024-05-06,Berlin,Widget,2,47.1
64,C1202,Elena Nguyen,40.7,59613.0,2024-05-05,Austin,Widget,3,46.2
65,C1098,Grace O'Neil,35.5,33848.0,2024-05-26,Tokyo,Gadget,8,68.56963562753035
66,C1139,Elena O'Neil,53.9,56741.0,2024-11-01,Tokyo,Sprocket,4,82.2
67,C1099,Bob O'Neil,39.8914798206278,67959.0,2024-02-05,Mumbai,Gadget,2,95.4
68,C1242,Alice Haddad,26.4,42494.0,2024-06-30,Lisbon,Gizmo,8,68.5
69,C1157,Frank O'Neil,39.8914798206278,48610.0,2025-01-12,Toronto,Doohickey,6,76.0
70,C1133,Frank O'Neil,39.8914798206278,87531.0,2024-02-17,Tokyo,Sprocket,1,55.7
71,C1031,Carlos Nguyen,58.8,21621.0,2024-04-06,Sydney,Gadget,2,73.1
72,C1212,Hiro Müller,51.0,76437.0,2024-11-14,Lisbon,Sprocket,5,52.9
73,C1095,Carlos Kowalski,48.1,58928.0,2024-11-18,Mumbai,Sprocket,9,81.7
74,C1013,Hiro Kim,39.8,65921.0,2024-10-13,Austin,Gizmo,9,94.2
75,C1121,Grace Müller,29.5,79127.0,2025-09-17,Lisbon,Gadget,7,81.9
76,C1009,Alice Silva,39.8914798206278,42600.0,2024-06-29,Berlin,Gadget,3,69.2
77,C1018,Ingrid Silva,41.6,53248.0,2024-07-22,Lisbon,Gizmo,9,63.3
78,C1126,Alice Müller,44.3,71288.0,2025-10-03,Berlin,Widget,5,79.1
79,C1224,Hiro Müller,29.4,89311.0,2025-06-06,Berlin,Sprocket,7,45.4
80,C1067,Dana Müller,39.8914798206278,77849.0,2025-08-05,Berlin,Gadget,3,67.1
81,C1084,Grace Nguyen,50.0,30137.0,2024-01-23,Berlin,Doohickey,8,76.1
82,C1014,Hiro Kim,39.8914798206278,51220.0,2024-07-19,Tokyo,Gizmo,7,79.6
83,C1040,Bob Haddad,49.9,94000.0,2024-07-19,Berlin,Widget,3,58.2
84,C1045,Jamal Silva,47.0,41941.0,2024-10-22,Lisbon,Gadget,5,97.6
85,C1186,Bob Silva,24.6,67846.0,2025-06-15,Berlin,Doohickey,1,89.9
86,C1032,Alice Müller,52.1,44186.0,2025-04-05,Lisbon,Doohickey,9,54.4
87,C1077,Carlos Smith,40.8,57591.0,2025-04-25,Tokyo,Widget,1,43.2
88,C1158,Frank Kim,31.6,64044.11983471074,2024-11-14,Tokyo,Gizmo,4,56.0
89,C1197,Bob Kim,33.9,97357.0,2025-11-24,Mumbai,Widget,8,54.1
90,C1221,Elena Haddad,39.8914798206278,96122.0,2025-05-29,Berlin,Gadget,4,68.56963562753035
91,C1028,Frank Smith,34.0,87463.0,2025-05-29,Tokyo,Doohickey,3,97.6
92,C1063,Jamal Kowalski,41.7,39373.0,2025-09-04,Lisbon,Gizmo,4,71.9
93,C1082,Bob Kowalski,36.2,110888.0,2024-01-17,Mumbai,Widget,5,68.56963562753035
95,C1153,Carlos Kim,43.7,46445.0,2025-08-25,Toronto,Doohickey,1,93.3
96,C1015,Hiro Silva,39.8914798206278,64044.11983471074,2024-06-02,Tokyo,Gizmo,1,52.3
97,C1041,Hiro Kowalski,23.9,42997.0,2024-05-14,Austin,Gizmo,5,68.56963562753035
99,C1160,Jamal O'Neil,30.1,76655.0,2024-01-31,Sydney,Gizmo,9,48.6
100,C1204,Elena Silva,39.1,101878.0,2025-10-04,Mumbai,Widget,8,59.1
101,C1036,Ingrid O'Neil,39.8914798206278,100951.0,2024-03-21,Lisbon,Gadget,3,56.2
102,C1168,Dana Kowalski,50.8,64044.11983471074,2024-08-17,Lisbon,Widget,4,48.7
103,C1138,Dana Kim,51.1,91971.0,2024-03-01,Sydney,Doohickey,9,68.9
104,C1238,Dana Haddad,46.0,61348.0,2025-03-09,Lisbon,Gizmo,2,75.6
105,C1051,Bob Haddad,31.8,74277.0,2025-11-17,Austin,Widget,6,93.9
106,C1223,Carlos Nguyen,39.8914798206278,69594.0,2025-01-31,Tokyo,Gadget,4,75.7
107,C1125,Frank Smith,33.3,80045.0,2025-01-31,Nairobi,Gizmo,3,82.1
108,C1169,Alice Silva,34.0,58683.0,2025-06-10,Nairobi,Sprocket,3,78.8
109,C1184,Elena Nguyen,18.9,61622.0,2025-11-04,Lisbon,Gizmo,5,80.3
110,C1111,Hiro Kim,21.0,34545.0,2024-10-18,Lisbon,Gadget,5,58.5
111,C1085,Hiro Haddad,25.3,59411.0,2024-12-27,Nairobi,Doohickey,2,71.9
112,C1097,Grace Kim,65.9,76075.0,2024-10-24,Toronto,Gadget,1,82.1
113,C1237,Elena Silva,42.1,65796.0,2024-12-06,Sydney,Gizmo,3,79.3
114,C1239,Grace Silva,29.7,64044.11983471074,2024-07-01,Toronto,Gizmo,1,70.7
115,C1182,Elena Haddad,41.8,66049.0,2025-03-30,Berlin,Sprocket,6,60.3
116,C1128,Frank Nguyen,36.6,72563.0,2024-08-16,Lisbon,Gadget,2,69.5
117,C1091,Ingrid Kowalski,39.8914798206278,64044.11983471074,2024-08-16,Toronto,Sprocket,1,68.1
118,C1156,Bob Nguyen,49.1,47433.0,2025-01-22,Mumbai,Doohickey,8,41.9
119,C1213,Elena Nguyen,42.4,78320.0,2024-05-14,Tokyo,Gadget,4,73.4
120,C1217,Alice Silva,49.2,66505.0,2025-04-04,Mumbai,Widget,8,45.0
121,C1229,Bob Smith,43.2,66087.0,2025-12-05,Lisbon,Gadget,9,54.0
122,C1037,Ingrid Silva,34.4,43821.0,2024-09-30,Tokyo,Widget,6,69.8
123,C1173,Hiro Silva,42.2,23947.0,2025-06-09,Tokyo,Sprocket,9,88.1
124,C1177,Bob Haddad,39.9,70087.0,2024-09-14,Mumbai,Gadget,5,54.6
125,C1188,Carlos Smith,34.5,79526.0,2024-08-24,Lisbon,Sprocket,4,62.8
126,C1104,Hiro Kim,18.8,45133.0,2024-08-14,Sydney,Gadget,2,55.2
128,C1247,Elena Kowalski,32.7,82923.0,2025-01-27,Austin,Widget,2,83.5
129,C1049,Hiro Smith,37.2,69350.0,2025-10-15,Lisbon,Sprocket,4,75.2
130,C1216,Alice O'Neil,34.3,32895.0,2024-11-27,Sydney,Gizmo,3,66.3
131,C1005,Ingrid O'Neil,43.5,63432.0,2025-03-27,Toronto,Gizmo,2,50.4
132,C1017,Bob Kowalski,40.1,62126.0,2025-07-25,Austin,Sprocket,9,60.4
133,C1170,Bob Kim,51.4,46599.0,2024-05-21,Sydney,Gizmo,6,65.3
134,C1116,Alice Nguyen,46.4,34298.0,2025-05-15,Mumbai,Widget,8,52.3
135,C1165,Ingrid Müller,53.8,61208.0,2025-05-31,Nairobi,Gadget,5,39.7
136,C1106,Hiro O'Neil,18.8,70749.0,2025-04-21,Nairobi,Gizmo,3,80.7
137,C1134,Hiro Smith,29.9,55616.0,2024-12-23,Austin,Gizmo,7,93.2
138,C1171,Alice Müller,42.6,64044.11983471074,2024-12-18,Mumbai,Sprocket,3,55.9
139,C1064,Elena O'Neil,38.9,64044.11983471074,2024-11-12,Austin,Sprocket,9,76.1
140,C1026,Elena Nguyen,37.3,38813.0,2024-11-14,Berlin,Widget,5,88.5
141,C1148,Ingrid Kowalski,47.6,47655.0,2024-08-27,Nairobi,Gizmo,1,82.9
142,C1194,Jamal Silva,34.6,31523.0,2024-02-12,Austin,Gadget,4,43.2
143,C1198,Dana Silva,50.8,74293.0,2025-08-20,Lisbon,Gizmo,1,63.3
145,C1117,Bob Kowalski,39.7,35918.0,2025-07-14,Lisbon,Doohickey,9,41.4
146,C1154,Elena Nguyen,36.4,63975.0,2024-06-07,Berlin,Doohickey,3,65.1
147,C1248,Hiro Kim,55.5,84066.0,2024-04-20,Berlin,Doohickey,2,43.6
148,C1029,Elena Smith,53.6,60455.0,2025-08-10,Sydney,Doohickey,2,68.56963562753035
149,C1079,Grace Silva,41.2,46269.0,2025-04-01,Nairobi,Doohickey,5,72.0
150,C1140,Jamal Müller,37.2,57354.0,2025-04-01,Toronto,Sprocket,4,68.56963562753035
151,C1131,Frank Kim,22.4,79702.0,2025-01-08,Nairobi,Gizmo,5,51.0
152,C1039,Grace Nguyen,29.6,64044.11983471074,2025-11-30,Lisbon,Gizmo,2,84.6
153,C1226,Ingrid Haddad,39.8914798206278,68650.0,2024-09-25,Nairobi,Gadget,6,75.2
154,C1054,Elena Silva,29.6,53703.0,2025-10-18,Mumbai,Gadget,1,35.5
155,C1043,Dana Kowalski,35.7,97783.0,2024-04-17,Lisbon,Sprocket,1,73.1
156,C1235,Hiro O'Neil,37.0,65206.0,2025-02-25,Mumbai,Gadget,1,68.5
157,C1048,Grace Kowalski,19.1,79627.0,2025-09-06,Sydney,Widget,3,51.8
158,C1222,Hiro Nguyen,54.4,89466.0,2024-01-05,Austin,Doohickey,9,72.8
159,C1059,Grace Smith,39.8914798206278,34659.0,2024-07-08,Lisbon,Sprocket,4,48.1
160,C1143,Elena Silva,28.0,64044.11983471074,2024-01-25,Tokyo,Gizmo,6,63.6
161,C1053,Elena Kim,45.7,87940.0,2024-02-18,Sydney,Widget,3,73.4
162,C1020,Frank Kowalski,39.8914798206278,68384.0,2025-02-03,Toronto,Doohickey,5,64.6
163,C1124,Ingrid Kim,47.8,41297.0,2025-02-02,Mumbai,Doohickey,7,67.5
165,C1249,Alice Nguyen,39.6,83465.0,2024-09-26,Berlin,Doohickey,3,75.3
166,C1174,Grace Nguyen,61.4,38061.0,2025-05-15,Austin,Widget,8,81.0
167,C1076,Dana O'Neil,50.8,55398.0,2024-07-25,Sydney,Gadget,3,73.4
169,C1107,Grace Kim,28.5,49357.0,2025-08-05,Mumbai,Gadget,3,73.3
170,C1207,Jamal Müller,36.0,48425.0,2025-09-04,Lisbon,Widget,7,96.1
171,C1012,Hiro Kowalski,35.0,71017.0,2024-10-09,Austin,Doohickey,3,66.2
172,C1016,Frank Nguyen,35.2,78309.0,2025-04-05,Toronto,Sprocket,7,82.1
173,C1047,Ingrid Nguyen,46.8,55629.0,2025-09-03,Tokyo,Widget,9,76.5
174,C1200,Dana Kim,38.1,48924.0,2025-11-22,Mumbai,Gizmo,7,85.0
175,C1119,Bob Haddad,40.8,55591.0,2024-12-09,Berlin,Gadget,8,55.2
176,C1021,Dana Smith,41.9,38934.0,2024-04-27,Berlin,Doohickey,9,85.4
177,C1146,Alice Smith,27.3,50917.0,2025-06-06,Tokyo,Gizmo,9,56.0
178,C1178,Jamal Smith,50.9,78812.0,2024-10-15,Sydney,Widget,2,72.5
179,C1214,Hiro Smith,34.6,76464.0,2025-03-08,Tokyo,Gadget,8,53.6
180,C1130,Frank Smith,39.8914798206278,61995.0,2024-08-03,Mumbai,Gizmo,8,77.9
181,C1208,Carlos Haddad,28.6,80390.0,2025-10-29,Nairobi,Gizmo,8,71.5
183,C1073,Bob Kim,48.2,64044.11983471074,2025-01-21,Austin,Gadget,8,78.6
184,C1030,Elena Kowalski,45.0,71542.0,2024-06-13,Austin,Doohickey,8,56.5
185,C1233,Hiro Haddad,34.4,97356.0,2024-02-04,Mumbai,Doohickey,2,62.4
186,C1033,Frank Nguyen,43.3,59712.0,2025-06-26,Tokyo,Gizmo,9,60.3
187,C1190,Grace Kim,51.3,24549.0,2024-04-23,Austin,Gizmo,8,67.2
188,C1219,Jamal Kim,34.0,41963.0,2024-07-21,Nairobi,Gizmo,5,58.4
189,C1155,Grace Silva,39.8914798206278,83885.0,2025-07-30,Austin,Doohickey,5,73.5
190,C1236,Grace Kowalski,47.5,69478.0,2024-09-17,Toronto,Gizmo,6,61.0
191,C1123,Elena Kowalski,40.4,52150.0,2024-10-04,Austin,Gadget,3,75.5
192,C1004,Elena Müller,49.1,101631.0,2025-02-28,Nairobi,Doohickey,9,68.8
193,C1163,Elena O'Neil,41.9,46369.0,2024-03-10,Berlin,Widget,8,60.3
194,C1100,Ingrid Silva,57.3,57972.0,2024-09-15,Tokyo,Widget,7,58.9
195,C1149,Alice Kowalski,58.6,48527.0,2024-04-27,Lisbon,Widget,6,99.1
196,C1205,Carlos Silva,45.0,97133.0,2024-10-02,Austin,Gizmo,5,91.4
197,C1151,Carlos Haddad,42.7,85033.0,2024-04-12,Berlin,Doohickey,6,47.6
199,C1061,Hiro Müller,45.3,46382.0,2025-11-09,Nairobi,Gizmo,2,87.2
201,C1035,Alice Kim,43.3,64044.11983471074,2024-03-21,Austin,Widget,6,56.1
202,C1010,Frank Haddad,34.5,49002.0,2024-11-19,Berlin,Gadget,9,59.7
203,C1091,Ingrid Kowalski,39.8914798206278,64044.11983471074,2024-11-19,Toronto,Sprocket,1,68.1
204,C1071,Bob Smith,55.7,57068.0,2024-10-23,Lisbon,Widget,5,65.4
205,C1092,Ingrid Silva,38.1,77586.0,2024-12-08,Austin,Gadget,8,40.4
206,C1241,Frank Haddad,57.5,51570.0,2024-10-20,Berlin,Gadget,8,83.9
207,C1093,Dana Silva,53.9,101948.0,2024-08-10,Berlin,Doohickey,2,83.5
208,C1159,Hiro Smith,25.2,61012.0,2025-07-27,Lisbon,Doohickey,6,75.0
210,C1144,Jamal Müller,30.9,24468.0,2024-08-24,Tokyo,Gadget,5,62.8
211,C1225,Dana Haddad,20.0,65217.0,2025-01-20,Austin,Gadget,5,62.2
212,C1001,Hiro Nguyen,41.2,71931.0,2024-11-15,Lisbon,Gizmo,7,72.6
213,C1244,Grace Kowalski,54.0,72043.0,2024-03-13,Berlin,Sprocket,4,73.6
214,C1083,Ingrid Haddad,42.6,57705.0,2025-11-30,Sydney,Widget,2,42.4
216,C1195,Alice Müller,40.2,66783.0,2024-10-05,Toronto,Widget,4,88.9
217,C1087,Dana Kowalski,55.8,64044.11983471074,2024-03-07,Berlin,Gizmo,1,65.1
218,C1137,Alice Haddad,39.8914798206278,79234.0,2024-01-01,Lisbon,Gizmo,2,74.4
220,C1038,Carlos Silva,38.8,49926.0,2024-11-11,Nairobi,Gadget,3,53.7
221,C1206,Hiro O'Neil,37.3,85449.0,2024-05-08,Sydney,Gizmo,7,51.7
222,C1201,Jamal Kim,69.2,65206.0,2024-05-08,Mumbai,Doohickey,5,83.0
223,C1231,Ingrid Haddad,43.6,64078.0,2024-01-19,Lisbon,Doohickey,1,63.2
224,C1034,Ingrid Nguyen,58.9,45702.0,2025-02-27,Lisbon,Gadget,8,62.5
225,C1192,Grace O'Neil,42.2,86379.0,2024-01-31,Sydney,Gadget,1,55.6
226,C1189,Dana Nguyen,61.2,64044.11983471074,2024-05-03,Lisbon,Doohickey,8,87.4
227,C1112,Frank O'Neil,39.8914798206278,64684.0,2024-03-10,Sydney,Widget,6,68.56963562753035
228,C1181,Bob Müller,37.7,73061.0,2024-05-25,Austin,Gadget,3,78.5
229,C1183,Grace O'Neil,28.0,74877.0,2025-06-10,Nairobi,Gizmo,6,79.6
230,C1152,Jamal Kowalski,25.5,60589.0,2024-02-15,Berlin,Doohickey,8,82.9
231,C1056,Frank Kowalski,38.4,74740.0,2025-02-16,Toronto,Gadget,2,82.3
232,C1069,Elena Haddad,45.1,53948.0,2024-05-03,Toronto,Doohickey,1,69.8
233,C1191,Grace Kowalski,26.5,83031.0,2024-05-02,Nairobi,Gadget,7,68.56963562753035
234,C1044,Alice Silva,39.8914798206278,35268.0,2024-01-19,Tokyo,Gizmo,9,52.6
236,C1019,Elena Silva,33.5,74872.0,2025-08-25,Toronto,Gadget,4,76.7
237,C1006,Alice Müller,24.7,59473.0,2025-03-19,Nairobi,Widget,4,64.3
238,C1055,Alice O'Neil,25.8,53541.0,2024-06-04,Sydney,Gadget,1,57.2
239,C1075,Elena O'Neil,47.8,73480.0,2024-12-16,Austin,Gadget,5,65.9
240,C1000,Alice O'Neil,52.3,76928.0,2025-03-14,Mumbai,Gizmo,6,73.1
241,C1172,Hiro Haddad,36.4,85304.0,2025-01-12,Lisbon,Gizmo,6,63.7
242,C1135,Dana Smith,47.0,57163.0,2024-06-02,Sydney,Sprocket,8,87.4
243,C1127,Hiro Müller,34.8,107887.0,2024-03-08,Toronto,Sprocket,8,61.6
244,C1176,Hiro Haddad,38.8,91301.0,2024-08-04,Sydney,Widget,1,81.3
245,C1068,Alice Kim,30.9,69350.0,2025-02-06,Sydney,Gizmo,8,67.1
247,C1167,Bob Smith,20.3,36857.0,2024-06-29,Mumbai,Gizmo,2,63.3
248,C1136,Grace Smith,34.6,56376.0,2024-07-06,Sydney,Doohickey,9,76.3
249,C1218,Elena O'Neil,39.8914798206278,54989.0,2025-10-24,Tokyo,Gadget,3,60.7
250,C1042,Hiro Kim,47.4,64044.11983471074,2025-10-24,Sydney,Gadget,5,65.2
251,C1110,Carlos Haddad,41.3,64044.11983471074,2025-10-17,Nairobi,Widget,5,68.56963562753035
252,C1089,Ingrid Kim,28.1,75432.0,2025-05-24,Sydney,Gizmo,9,86.0
253,C1072,Elena Silva,42.4,65578.0,2024-12-20,Toronto,Gadget,5,71.4
254,C1023,Jamal Kim,39.8914798206278,69717.0,2024-01-06,Mumbai,Sprocket,2,62.7
255,C1142,Carlos Kowalski,39.1,64044.11983471074,2024-03-10,Tokyo,Doohickey,6,85.1
256,C1185,Elena Smith,39.8914798206278,70007.0,2024-03-24,Sydney,Sprocket,5,28.2
257,C1103,Alice Nguyen,39.8914798206278,95022.0,2024-09-04,Lisbon,Doohickey,4,72.9
258,C1211,Hiro O'Neil,46.0,64044.11983471074,2025-09-03,Tokyo,Sprocket,5,60.0
260,C1025,Grace Nguyen,34.1,68417.0,2024-08-23,Lisbon,Doohickey,4,63.5
261,C1196,Dana Kowalski,45.4,81755.0,2025-05-04,Toronto,Gizmo,9,71.2
262,C1175,Elena O'Neil,62.9,48388.0,2024-11-21,Toronto,Sprocket,9,70.0
